"title","rating","summary","releaseDate"
"Hera Pheri (2000)            
                    Not Rated
    |                    
                        2h 36min
                    
    |
Action, 
Comedy, 
Crime
    |
31 March 2000 (India)","8.2","","Hera Pheri (2000)            
                    Not Rated
    |                    
                        2h 36min
                    
    |
Action, 
Comedy, 
Crime
    |
31 March 2000 (India)"
"The Shawshank Redemption (1994)            
                    R
    |                    
                        2h 22min
                    
    |
Drama

    |
14 October 1994 (USA)","9.3","","The Shawshank Redemption (1994)            
                    R
    |                    
                        2h 22min
                    
    |
Drama

    |
14 October 1994 (USA)"
"The Godfather (1972)            
                    R
    |                    
                        2h 55min
                    
    |
Crime, 
Drama

    |
24 March 1972 (USA)","9.2","","The Godfather (1972)            
                    R
    |                    
                        2h 55min
                    
    |
Crime, 
Drama

    |
24 March 1972 (USA)"
"The Dark Knight (2008)            
                    PG-13
    |                    
                        2h 32min
                    
    |
Action, 
Crime, 
Drama
    |
18 July 2008 (USA)","9.0","","The Dark Knight (2008)            
                    PG-13
    |                    
                        2h 32min
                    
    |
Action, 
Crime, 
Drama
    |
18 July 2008 (USA)"
"12 Angry Men (1957)            
                    Approved
    |                    
                        1h 36min
                    
    |
Drama

    |
10 April 1957 (USA)","8.9","","12 Angry Men (1957)            
                    Approved
    |                    
                        1h 36min
                    
    |
Drama

    |
10 April 1957 (USA)"
"Schindler's List (1993)            
                    R
    |                    
                        3h 15min
                    
    |
Biography, 
Drama, 
History
    |
4 February 1994 (USA)","8.9","Oskar Schindler","Schindler's List (1993)            
                    R
    |                    
                        3h 15min
                    
    |
Biography, 
Drama, 
History
    |
4 February 1994 (USA)"
